cell_line,condition,score,type,label
Hela,WT3,0.49778286,real,negative
Hela,WT3,0.75039184,real,negative
Hela,KO1,0.5600769,real,negative
Hela,WT2,0.5472398,real,negative
Hela,KO2,0.10561435,real,negative
Hela,KO1,0.03427133,real,negative
Hela,KO1,0.64540565,real,negative
Hela,WT3,0.27482617,real,negative
Hela,WT2,0.45892784,real,negative
PANC-1,WT1,0.0156484,real,negative
Hela,WT2,0.698997,real,negative
PANC-1,WT2,0.01180092,real,negative
PANC-1,OE2,0.28941146,real,negative
Hela,WT1,0.5536836,real,negative
Hela,KO1,0.17724782,real,negative
Hela,WT3,0.003007265,real,negative
Hela,KO1,0.79037267,real,negative
Hela,KO2,0.3532584,real,negative
PANC-1,OE3,0.003884367,real,negative
PANC-1,OE2,0.16983268,real,negative
Hela,WT2,0.20336926,real,negative
Hela,WT1,0.9916027,real,positive
PANC-1,WT2,0.06875198,real,negative
Hela,KO3,0.015658379,real,negative
PANC-1,OE2,0.000843732,real,negative
Hela,WT3,0.7998316,real,negative
Hela,KO2,0.48583615,real,negative
Hela,WT3,0.28250304,real,negative
PANC-1,OE2,0.12801027,real,negative
Hela,WT3,0.2578638,real,negative
Hela,WT1,0.871296,real,negative
Hela,WT3,0.023210352,real,negative
Hela,KO3,0.6744236,real,negative
Hela,KO2,0.7202855,real,negative
Hela,WT3,0.25301102,real,negative
Hela,WT3,0.5889644,real,negative
PANC-1,OE3,0.10530746,real,negative
PANC-1,WT3,0.003615972,real,negative
PANC-1,WT1,0.5784342,real,negative
Hela,KO2,0.016748842,real,negative
Hela,KO1,0.9907051,real,positive
PANC-1,WT3,0.000754747,real,negative
Hela,WT1,0.000968188,real,negative
PANC-1,WT2,0.114829436,real,negative
PANC-1,OE2,0.008181779,real,negative
Hela,KO3,0.013241811,real,negative
Hela,WT1,0.09948809,real,negative
PANC-1,OE1,0.075609535,real,negative
Hela,KO3,0.030892046,real,negative
Hela,KO3,0.37106583,real,negative
PANC-1,OE2,0.016124487,real,negative
Hela,KO2,0.022333523,real,negative
Hela,WT2,0.5967029,real,negative
PANC-1,WT2,0.009479079,real,negative
Hela,KO1,0.14967741,real,negative
PANC-1,WT3,0.001573063,real,negative
PANC-1,WT2,0.08666863,real,negative
Hela,WT2,0.034674037,real,negative
Hela,KO2,0.70195824,real,negative
Hela,KO2,0.6548833,real,negative
Hela,WT3,0.10997547,real,negative
PANC-1,OE3,0.4278088,real,negative
PANC-1,WT3,0.008868819,real,negative
PANC-1,OE2,0.005528806,real,negative
PANC-1,OE3,0.04960889,real,negative
PANC-1,OE1,0.0978077,real,negative
Hela,WT2,0.7635712,real,negative
PANC-1,OE2,0.000485724,real,negative
Hela,WT1,0.94186926,real,negative
Hela,KO2,0.60482806,real,negative
PANC-1,OE2,0.001120207,real,negative
PANC-1,WT1,0.02618904,real,negative
Hela,WT2,0.38985458,real,negative
Hela,WT1,0.9695916,real,negative
PANC-1,OE1,0.033149995,real,negative
PANC-1,OE3,0.36222446,real,negative
PANC-1,OE1,0.058017652,real,negative
Hela,KO2,0.41340503,real,negative
Hela,WT2,0.8815819,real,negative
PANC-1,OE3,0.007149884,real,negative
PANC-1,WT1,0.25260985,real,negative
PANC-1,OE1,0.002054116,real,negative
Hela,KO3,0.4561557,real,negative
Hela,KO3,0.8376067,real,negative
Hela,KO2,0.5298954,real,negative
Hela,KO1,0.9049473,real,negative
Hela,KO2,0.6466177,real,negative
PANC-1,WT3,0.001813201,real,negative
PANC-1,OE3,0.053807013,real,negative
Hela,WT1,0.50662047,real,negative
Hela,KO2,0.002261319,real,negative
PANC-1,WT2,0.013613618,real,negative
Hela,KO2,0.044053346,real,negative
Hela,KO1,0.049334683,real,negative
PANC-1,WT2,0.02814816,real,negative
PANC-1,WT1,0.008302035,real,negative
Hela,WT3,0.90332574,real,negative
PANC-1,OE1,0.09528774,real,negative
Hela,KO1,0.17844237,real,negative
PANC-1,WT3,0.03046792,real,negative
Hela,KO3,0.011557392,real,negative
Hela,WT1,0.95170385,real,negative
PANC-1,WT1,0.19109772,real,negative
PANC-1,OE2,0.012143898,real,negative
Hela,KO1,0.22120275,real,negative
Hela,KO3,0.70202816,real,negative
Hela,KO2,0.64608294,real,negative
Hela,KO3,0.047765046,real,negative
Hela,KO2,0.58032244,real,negative
PANC-1,WT2,0.14288333,real,negative
Hela,WT3,0.006758955,real,negative
Hela,KO3,0.45778096,real,negative
PANC-1,OE3,0.032011196,real,negative
Hela,KO2,0.4914853,real,negative
Hela,WT1,0.59172165,real,negative
Hela,WT2,0.39488226,real,negative
Hela,KO2,0.3164293,real,negative
PANC-1,OE3,0.7478191,real,negative
Hela,KO3,0.47713637,real,negative
Hela,KO3,0.08719298,real,negative
Hela,WT2,0.2797452,real,negative
Hela,WT2,0.05153026,real,negative
PANC-1,OE3,0.014925329,real,negative
PANC-1,WT3,0.000264217,real,negative
Hela,KO1,0.0811738,real,negative
Hela,WT2,0.37712348,real,negative
Hela,KO1,0.21069083,real,negative
Hela,KO1,0.2277822,real,negative
